closes,dates,volumes
394.491,2016-01-27 00:00:00.000,1023661369.6216024
379.5519999999999,2016-01-28 00:00:00.000,1144817695.5234942
378.912,2016-01-29 00:00:00.000,1378222858.2537942
376.921,2016-01-30 00:00:00.000,926767404.3542867
364.352,2016-01-31 00:00:00.000,795209372.712972
371.041,2016-02-01 00:00:00.000,1028395380.8818554
372.8679999999999,2016-02-02 00:00:00.000,669492000.7292296
372.8679999999999,2016-02-02 00:00:00.000,669492000.7292296
368.124,2016-02-03 00:00:00.000,701511710.5572596
388.3759999999999,2016-02-04 00:00:00.000,1068491901.0833611
385.7330000000001,2016-02-05 00:00:00.000,1099201402.3270342
374.9049999999999,2016-02-06 00:00:00.000,979578026.0038061
375.5170000000002,2016-02-07 00:00:00.000,551083226.5427567
371.1359999999999,2016-02-08 00:00:00.000,542257471.058673
373.909,2016-02-09 00:00:00.000,465479007.436967
379.829,2016-02-10 00:00:00.000,814090887.7056519
377.058,2016-02-11 00:00:00.000,503979335.12027735
382.72,2016-02-12 00:00:00.000,658159244.500266
390.4240000000001,2016-02-13 00:00:00.000,740171994.7251545
404.1440000000001,2016-02-14 00:00:00.000,1319015072.5724676
399.379,2016-02-15 00:00:00.000,1388195099.8471158
407.0129999999998,2016-02-16 00:00:00.000,1111797900.4521844
416.8499999999999,2016-02-17 00:00:00.000,1296165324.1759655
421.4220000000001,2016-02-18 00:00:00.000,1445224878.5173087
419.377,2016-02-19 00:00:00.000,601898504.2767404
441.1199999999998,2016-02-20 00:00:00.000,1385245439.8751278
438.6499999999999,2016-02-21 00:00:00.000,1506908216.5909653
437.8029999999999,2016-02-22 00:00:00.000,1166708341.4203901
420.3020000000001,2016-02-23 00:00:00.000,1465084346.963302
423.1870000000001,2016-02-24 00:00:00.000,1457408415.8942337
423.142,2016-02-25 00:00:00.000,1416389937.2195773
427.029,2016-02-26 00:00:00.000,58325277.64245085
432.1390000000001,2016-02-27 00:00:00.000,595150632.3741599
432.7970000000001,2016-02-28 00:00:00.000,546124185.8661692
436.919,2016-02-29 00:00:00.000,1847224330.8996885
431.371,2016-03-01 00:00:00.000,2515777833.930286
424.485,2016-03-02 00:00:00.000,2052408228.7895234
420.1709999999999,2016-03-03 00:00:00.000,2737847218.462073
409.408,2016-03-04 00:00:00.000,2408874554.407219
397.2410000000001,2016-03-05 00:00:00.000,2766255766.6448894
404.912,2016-03-06 00:00:00.000,2521764887.178534
413.74,2016-03-07 00:00:00.000,2361080396.000645
411.8770000000001,2016-03-08 00:00:00.000,1845168034.2779822
412.3190000000001,2016-03-09 00:00:00.000,1705210742.922722
416.2920000000001,2016-03-10 00:00:00.000,2166212980.4221253
419.299,2016-03-11 00:00:00.000,2440375016.827296
410.8010000000001,2016-03-12 00:00:00.000,2292018374.4436398
412.4949999999999,2016-03-13 00:00:00.000,1845648236.2910593
414.585,2016-03-14 00:00:00.000,1803876534.2741227
415.6410000000001,2016-03-15 00:00:00.000,2111129338.3052552
416.5440000000001,2016-03-16 00:00:00.000,1895643174.07286
418.4000000000001,2016-03-17 00:00:00.000,1743173852.7310321
408.28,2016-03-18 00:00:00.000,2438769296.167774
406.7389999999999,2016-03-19 00:00:00.000,1764836350.22334
411.8820000000001,2016-03-20 00:00:00.000,1440329762.2947476
411.091,2016-03-21 00:00:00.000,2250456009.66558
416.36,2016-03-22 00:00:00.000,2041042449.9845455
418.076,2016-03-23 00:00:00.000,1985257305.3708298
414.8829999999999,2016-03-24 00:00:00.000,2021330255.0508976
415.743,2016-03-25 00:00:00.000,1933831281.7491696
416.7149999999999,2016-03-26 00:00:00.000,1604214632.4064965
425.349,2016-03-27 00:00:00.000,2326287423.8189363
422.756,2016-03-28 01:00:00.000,2155194925.8853908
415.5470000000001,2016-03-29 01:00:00.000,2681866388.8263345
412.597,2016-03-30 01:00:00.000,2387281658.2325406
415.366,2016-03-31 01:00:00.000,1432304098.8288007
416.754,2016-04-01 01:00:00.000,447338222.9775492
419.6700000000001,2016-04-02 01:00:00.000,633704453.9853791
418.1850000000001,2016-04-03 01:00:00.000,429476810.3973782
419.437,2016-04-04 01:00:00.000,525611739.82711506
422.651,2016-04-05 01:00:00.000,541558101.3329905
421.65599999999995,2016-04-06 01:00:00.000,527136257.70882565
421.076,2016-04-07 01:00:00.000,593936633.4999853
418.4740000000001,2016-04-08 01:00:00.000,727873660.8959363
416.145,2016-04-09 01:00:00.000,791269617.2927799
421.133,2016-04-10 01:00:00.000,484836963.8386498
422.5840000000001,2016-04-11 01:00:00.000,710470936.9100323
426.181,2016-04-12 01:00:00.000,1182165394.173999
424.26900000000006,2016-04-13 01:00:00.000,785800595.966394
424.932,2016-04-14 01:00:00.000,616490737.7752148
429.966,2016-04-15 01:00:00.000,841700526.6271452
